#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE376F
#Date Time: 2020-07-29 17:11:36.258
#Sample rate: 961538Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 550 mV Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 20 mV
#Offset: -30 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Time (s),Channel 2 (V)
0.003145098666666667,0.994356808312417
0.003146138666666667,0.9953634545790313
0.003147178666666667,0.9956990033345694
0.003148218666666667,0.9963701008456458
0.003149258666666667,0.9967056496011839
0.003150298666666667,0.997041198356722
0.003151338666666667,0.9973767471122601
0.003152378666666667,0.9977122958677982
0.003153418666666667,0.9977122958677982
0.003154458666666667,0.9977122958677982
0.003155498666666667,0.9980478446233363
0.003156538666666667,0.9983833933788744
0.003157578666666667,0.9983833933788744
0.003158618666666667,0.9977122958677982
0.003159658666666667,0.9980478446233363
0.003160698666666667,0.9977122958677982
0.003161738666666667,0.9977122958677982
0.003162778666666667,0.9967056496011839
0.003163818666666667,0.9967056496011839
0.003164858666666667,0.9967056496011839
0.003165898666666667,0.997041198356722
0.003166938666666667,0.9963701008456458
0.003167978666666667,0.9960345520901075
0.003169018666666667,0.9950279058234932
0.003170058666666667,0.9953634545790313
0.003171098666666667,0.9946923570679551
0.003172138666666667,0.9940212595568789
0.003173178666666667,0.9936857108013408
0.003174218666666667,0.9933501620458027
0.003175258666666667,0.9920079670236503
0.003176298666666667,0.9910013207570358
0.003177338666666667,0.9903302232459597
0.003178378666666667,0.9896591257348835
0.003179418666666667,0.9883169307127311
0.003180458666666667,0.9873102844461166
0.003181498666666667,0.9856325406684261
0.003182538666666667,0.9859680894239642
0.003183578666666667,0.9839547968907356
0.003184618666666667,0.9832836993796594
0.003185658666666667,0.9819415043575068
0.003186698666666667,0.9812704068464306
0.003187738666666667,0.9795926630687402
0.003188778666666667,0.9785860168021259
